"","Country A","Country B","KL divergence - per capita"
"161","France (C)","Austria (C)","0.185360083708893"
"162","France (C)","Croatia (C)","0.250591944691958"
"163","France (C)","Denmark (C)","0.421015634536173"
"164","France (C)","Estonia (C)","0.359628153809423"
"165","France (C)","Finland (C)","0.194565252861859"
"166","France (C)","France (C)","0"
"167","France (C)","Greece (C)","0.248583901008724"
"168","France (C)","Hungary (C)","0.243158577239155"
"169","France (C)","Italy (C)","0.268799632614827"
"170","France (C)","Lithuania (C)","0.228165677790256"
"171","France (C)","Netherlands (C)","0.247130035755937"
"172","France (C)","Portugal (C)","0.141184612969227"
"173","France (C)","Slovakia (C)","0.194486365958295"
"174","France (C)","Slovenia (C)","0.16441285583262"
"175","France (C)","Spain (C)","0.22385649086389"
"176","France (C)","Switzerland (C)","0.249031966085687"
"177","France (C)","United Kingdom (C)","0.140408327704446"
"178","France (C)","Belgium, 2006","0.232631625760106"
"179","France (C)","Belgium, 2010","0.382140073066829"
"180","France (C)","China (Shanghai), 2018","0.644201665371119"
"181","France (C)","France, 2012","0.228993333205717"
"182","France (C)","Hong Kong, 2016","0.759448265961953"
"183","France (C)","Peru, 2011","3.54799801172202"
"184","France (C)","Zimbabwe, 2013","1.14617354555704"
"185","France (C)","Italy (P)","0.556733201492856"
"186","France (C)","Germany (P)","0.393946532821244"
"187","France (C)","Luxembourg (P)","0.389142298732848"
"188","France (C)","Netherlands (P)","0.889283728953677"
"189","France (C)","Poland (P)","0.217192998862067"
"190","France (C)","United Kingdom (P)","0.40536571011886"
"191","France (C)","Finland (P)","0.450046944675322"
"192","France (C)","Belgium (P)","0.435095575627932"
"193","Greece (C)","Austria (C)","0.314582973162087"
"194","Greece (C)","Croatia (C)","0.516186256791324"
"195","Greece (C)","Denmark (C)","0.503228853092536"
"196","Greece (C)","Estonia (C)","0.33111578140066"
"197","Greece (C)","Finland (C)","0.308531185366765"
"198","Greece (C)","France (C)","0.248583901008724"
"199","Greece (C)","Greece (C)","0"
"200","Greece (C)","Hungary (C)","0.298585315489865"
"201","Greece (C)","Italy (C)","0.323090549905968"
"202","Greece (C)","Lithuania (C)","0.26018600942916"
"203","Greece (C)","Netherlands (C)","0.328319857810268"
"204","Greece (C)","Portugal (C)","0.28618658810303"
"205","Greece (C)","Slovakia (C)","0.348330137401438"
"206","Greece (C)","Slovenia (C)","0.355249022506975"
"207","Greece (C)","Spain (C)","0.389573701794848"
