"","Country A","Country B","KL divergence - per capita"
"201","Greece (C)","Italy (C)","0.172412843347243"
"202","Greece (C)","Lithuania (C)","0.101430589178399"
"203","Greece (C)","Netherlands (C)","0.229222296478101"
"204","Greece (C)","Portugal (C)","0.109400466278543"
"205","Greece (C)","Slovakia (C)","0.127653562420112"
"206","Greece (C)","Slovenia (C)","0.165151314073715"
"207","Greece (C)","Spain (C)","0.208732569404889"
"208","Greece (C)","Switzerland (C)","0.14356601821203"
"209","Greece (C)","United Kingdom (C)","0.11606830207766"
"210","Greece (C)","Belgium, 2006","0.365951514515197"
"211","Greece (C)","Belgium, 2010","0.591181057675228"
"212","Greece (C)","China (Shanghai), 2018","1.08117216678498"
"213","Greece (C)","France, 2012","0.524823266627407"
"214","Greece (C)","Hong Kong, 2016","1.02032738718264"
"215","Greece (C)","Peru, 2011","3.29479566450398"
"216","Greece (C)","Zimbabwe, 2013","1.56723420573403"
"217","Greece (C)","Italy (P)","0.677233386210211"
"218","Greece (C)","Germany (P)","0.821458623234667"
"219","Greece (C)","Luxembourg (P)","0.610553231413998"
"220","Greece (C)","Netherlands (P)","1.49189301286907"
"221","Greece (C)","Poland (P)","0.462694847293013"
"222","Greece (C)","United Kingdom (P)","0.562403117269746"
"223","Greece (C)","Finland (P)","0.906471804052924"
"224","Greece (C)","Belgium (P)","0.766594250410961"
"225","Hungary (C)","Austria (C)","0.181700596494038"
"226","Hungary (C)","Croatia (C)","0.121104437267104"
"227","Hungary (C)","Denmark (C)","0.211713735342849"
"228","Hungary (C)","Estonia (C)","0.131238428117947"
"229","Hungary (C)","Finland (C)","0.135672839214523"
"230","Hungary (C)","France (C)","0.145483317229265"
"231","Hungary (C)","Greece (C)","0.100383610621748"
"232","Hungary (C)","Hungary (C)","0"
"233","Hungary (C)","Italy (C)","0.140214608512456"
"234","Hungary (C)","Lithuania (C)","0.0963120927322401"
"235","Hungary (C)","Netherlands (C)","0.233333129408378"
"236","Hungary (C)","Portugal (C)","0.110183766930082"
