"","Country A","Country B","KL divergence - per capita"
"140","Finland (C)","Portugal (C)","0.187274363007763"
"141","Finland (C)","Slovakia (C)","0.109840436481206"
"142","Finland (C)","Slovenia (C)","0.133463182974053"
"143","Finland (C)","Spain (C)","0.193937784860504"
"144","Finland (C)","Switzerland (C)","0.0633267436233967"
"145","Finland (C)","United Kingdom (C)","0.0684248452181"
"146","Finland (C)","Belgium, 2006","0.249223965057509"
"147","Finland (C)","Belgium, 2010","0.236348150918153"
"148","Finland (C)","China (Shanghai), 2018","0.645508963455644"
"149","Finland (C)","France, 2012","0.194408821988389"
"150","Finland (C)","Hong Kong, 2016","0.258801828844824"
"151","Finland (C)","Peru, 2011","0.611207442055183"
"152","Finland (C)","Zimbabwe, 2013","0.622033868587896"
"153","Finland (C)","Italy (P)","0.285837989460517"
"154","Finland (C)","Germany (P)","0.171590106491092"
"155","Finland (C)","Luxembourg (P)","0.226968892121367"
"156","Finland (C)","Netherlands (P)","0.699880206629783"
"157","Finland (C)","Poland (P)","0.317265561601352"
"158","Finland (C)","United Kingdom (P)","0.187454729684936"
"159","Finland (C)","Finland (P)","0.145244202759591"
"160","Finland (C)","Belgium (P)","0.300277424835878"
"161","France (C)","Austria (C)","0.0559473009984732"
"162","France (C)","Croatia (C)","0.0907478321931333"
"163","France (C)","Denmark (C)","0.0582989065287308"
"164","France (C)","Estonia (C)","0.0558823379644101"
"165","France (C)","Finland (C)","0.0804310864615267"
"166","France (C)","France (C)","0"
"167","France (C)","Greece (C)","0.0898982466227703"
"168","France (C)","Hungary (C)","0.0528768196852358"
"169","France (C)","Italy (C)","0.11104135235296"
"170","France (C)","Lithuania (C)","0.065493174615628"
"171","France (C)","Netherlands (C)","0.17150847090976"
"172","France (C)","Portugal (C)","0.090891391448084"
"173","France (C)","Slovakia (C)","0.0727230898045066"
"174","France (C)","Slovenia (C)","0.0661250686410531"
"175","France (C)","Spain (C)","0.107386986241719"
"176","France (C)","Switzerland (C)","0.0686867501743525"
"177","France (C)","United Kingdom (C)","0.0465888212151923"
"178","France (C)","Belgium, 2006","0.206408250930756"
"179","France (C)","Belgium, 2010","0.182832785112732"
"180","France (C)","China (Shanghai), 2018","0.523641032914695"
"181","France (C)","France, 2012","0.140463269554661"
"182","France (C)","Hong Kong, 2016","0.18612443961094"
"183","France (C)","Peru, 2011","0.533564059349573"
"184","France (C)","Zimbabwe, 2013","0.459097313905233"
"185","France (C)","Italy (P)","0.194132423957845"
"186","France (C)","Germany (P)","0.121589442462136"
"187","France (C)","Luxembourg (P)","0.154307378149166"
"188","France (C)","Netherlands (P)","0.730639304618708"
"189","France (C)","Poland (P)","0.211901925259955"
"190","France (C)","United Kingdom (P)","0.150021945721002"
"191","France (C)","Finland (P)","0.184211250236934"
"192","France (C)","Belgium (P)","0.269966236000312"
"193","Greece (C)","Austria (C)","0.0735031031880112"
"194","Greece (C)","Croatia (C)","0.0474272714654067"
"195","Greece (C)","Denmark (C)","0.107903499477593"
"196","Greece (C)","Estonia (C)","0.0737839335424532"
"197","Greece (C)","Finland (C)","0.152741774450781"
"198","Greece (C)","France (C)","0.0898982466227703"
"199","Greece (C)","Greece (C)","0"
"200","Greece (C)","Hungary (C)","0.0781058062411032"
"201","Greece (C)","Italy (C)","0.0746479324241"
"202","Greece (C)","Lithuania (C)","0.125461507168367"
"203","Greece (C)","Netherlands (C)","0.134603921668625"
"204","Greece (C)","Portugal (C)","0.0574738398717576"
"205","Greece (C)","Slovakia (C)","0.0746134909214844"
"206","Greece (C)","Slovenia (C)","0.0510023477914862"
"207","Greece (C)","Spain (C)","0.0506815161206816"
"208","Greece (C)","Switzerland (C)","0.0597167031046063"
"209","Greece (C)","United Kingdom (C)","0.0425045005019962"
"210","Greece (C)","Belgium, 2006","0.179794707593702"
"211","Greece (C)","Belgium, 2010","0.156558404776225"
"212","Greece (C)","China (Shanghai), 2018","0.491066575384493"
"213","Greece (C)","France, 2012","0.0985275019555739"
"214","Greece (C)","Hong Kong, 2016","0.155244793390532"
"215","Greece (C)","Peru, 2011","0.481444969406194"
"216","Greece (C)","Zimbabwe, 2013","0.327354593919935"
"217","Greece (C)","Italy (P)","0.125985570543983"
"218","Greece (C)","Germany (P)","0.12476329371222"
"219","Greece (C)","Luxembourg (P)","0.0997660754995541"
"220","Greece (C)","Netherlands (P)","0.786466900230564"
"221","Greece (C)","Poland (P)","0.18669115906157"
"222","Greece (C)","United Kingdom (P)","0.140384273988779"
"223","Greece (C)","Finland (P)","0.217704961534497"
"224","Greece (C)","Belgium (P)","0.252599478716804"
"225","Hungary (C)","Austria (C)","0.0610530767129077"
"226","Hungary (C)","Croatia (C)","0.0609859413188886"
"227","Hungary (C)","Denmark (C)","0.0783555380774993"
"228","Hungary (C)","Estonia (C)","0.0509608740081193"
"229","Hungary (C)","Finland (C)","0.111155063176493"
"230","Hungary (C)","France (C)","0.0528768196852358"
"231","Hungary (C)","Greece (C)","0.0781058062411032"
"232","Hungary (C)","Hungary (C)","0"
"233","Hungary (C)","Italy (C)","0.0878386689921741"
"234","Hungary (C)","Lithuania (C)","0.0704655032961804"
"235","Hungary (C)","Netherlands (C)","0.183560295902798"
"236","Hungary (C)","Portugal (C)","0.0609621993145529"
"237","Hungary (C)","Slovakia (C)","0.0391032564737964"
"238","Hungary (C)","Slovenia (C)","0.0377437348078216"
"239","Hungary (C)","Spain (C)","0.0832521886461252"
"240","Hungary (C)","Switzerland (C)","0.0728674119026347"
"241","Hungary (C)","United Kingdom (C)","0.0497057879873261"
"242","Hungary (C)","Belgium, 2006","0.158294507360967"
"243","Hungary (C)","Belgium, 2010","0.151766016942161"
"244","Hungary (C)","China (Shanghai), 2018","0.48918281126595"
"245","Hungary (C)","France, 2012","0.108201130191061"
"246","Hungary (C)","Hong Kong, 2016","0.147540377266703"
"247","Hungary (C)","Peru, 2011","0.45237304746668"
"248","Hungary (C)","Zimbabwe, 2013","0.396977832597932"
"249","Hungary (C)","Italy (P)","0.16016490820074"
"250","Hungary (C)","Germany (P)","0.10101900170069"
"251","Hungary (C)","Luxembourg (P)","0.114969882010356"
"252","Hungary (C)","Netherlands (P)","0.709614845251348"
"253","Hungary (C)","Poland (P)","0.165596972004663"
"254","Hungary (C)","United Kingdom (P)","0.117829018377456"
"255","Hungary (C)","Finland (P)","0.18476176785959"
"256","Hungary (C)","Belgium (P)","0.191684202435417"
"257","Italy (C)","Austria (C)","0.0983055730735675"
"258","Italy (C)","Croatia (C)","0.0785456224344964"
"259","Italy (C)","Denmark (C)","0.136759780904432"
"260","Italy (C)","Estonia (C)","0.115860027189052"
"261","Italy (C)","Finland (C)","0.218571922758381"
"262","Italy (C)","France (C)","0.11104135235296"
"263","Italy (C)","Greece (C)","0.0746479324241"
"264","Italy (C)","Hungary (C)","0.0878386689921741"
"265","Italy (C)","Italy (C)","0"
"266","Italy (C)","Lithuania (C)","0.166294955098709"
"267","Italy (C)","Netherlands (C)","0.188605014846598"
"268","Italy (C)","Portugal (C)","0.0572114053888646"
"269","Italy (C)","Slovakia (C)","0.112475547448755"
"270","Italy (C)","Slovenia (C)","0.0786324896749767"
"271","Italy (C)","Spain (C)","0.0452126906210515"
"272","Italy (C)","Switzerland (C)","0.111959418329533"
"273","Italy (C)","United Kingdom (C)","0.0815530148657202"
"274","Italy (C)","Belgium, 2006","0.230367996609574"
"275","Italy (C)","Belgium, 2010","0.199077720990304"
"276","Italy (C)","China (Shanghai), 2018","0.507563204337942"
"277","Italy (C)","France, 2012","0.147301605809107"
"278","Italy (C)","Hong Kong, 2016","0.142382137236329"
"279","Italy (C)","Peru, 2011","0.388502259906126"
"280","Italy (C)","Zimbabwe, 2013","0.304087152096002"
"281","Italy (C)","Italy (P)","0.153085347605637"
"282","Italy (C)","Germany (P)","0.155778753876618"
"283","Italy (C)","Luxembourg (P)","0.131923628557638"
"284","Italy (C)","Netherlands (P)","1.00392858314331"
"285","Italy (C)","Poland (P)","0.169551362562475"
"286","Italy (C)","United Kingdom (P)","0.157429209565424"
"287","Italy (C)","Finland (P)","0.258140542378069"
"288","Italy (C)","Belgium (P)","0.293489054803243"
"289","Lithuania (C)","Austria (C)","0.0414670326658657"
"290","Lithuania (C)","Croatia (C)","0.0849120896309695"
"291","Lithuania (C)","Denmark (C)","0.0424899942852599"
"292","Lithuania (C)","Estonia (C)","0.0432690380123106"
"293","Lithuania (C)","Finland (C)","0.049975851789467"
"294","Lithuania (C)","France (C)","0.065493174615628"
"295","Lithuania (C)","Greece (C)","0.125461507168367"
"296","Lithuania (C)","Hungary (C)","0.0704655032961804"
"297","Lithuania (C)","Italy (C)","0.166294955098709"
"298","Lithuania (C)","Lithuania (C)","0"
"299","Lithuania (C)","Netherlands (C)","0.164513957955779"
"300","Lithuania (C)","Portugal (C)","0.119233532587329"
"301","Lithuania (C)","Slovakia (C)","0.0668513444653232"
"302","Lithuania (C)","Slovenia (C)","0.0806312572066023"
"303","Lithuania (C)","Spain (C)","0.14313495168397"
"304","Lithuania (C)","Switzerland (C)","0.0529411507492832"
"305","Lithuania (C)","United Kingdom (C)","0.0500228654161338"
"306","Lithuania (C)","Belgium, 2006","0.180601417541168"
"307","Lithuania (C)","Belgium, 2010","0.184205039760169"
"308","Lithuania (C)","China (Shanghai), 2018","0.49772819086807"
"309","Lithuania (C)","France, 2012","0.144208428762905"
"310","Lithuania (C)","Hong Kong, 2016","0.204726203646428"
"311","Lithuania (C)","Peru, 2011","0.55039880411792"
"312","Lithuania (C)","Zimbabwe, 2013","0.476399237288042"
"313","Lithuania (C)","Italy (P)","0.214646958763872"
"314","Lithuania (C)","Germany (P)","0.130141144570627"
"315","Lithuania (C)","Luxembourg (P)","0.159323110875592"
"316","Lithuania (C)","Netherlands (P)","0.661602559964573"
"317","Lithuania (C)","Poland (P)","0.230622863571471"
"318","Lithuania (C)","United Kingdom (P)","0.137111158198135"
"319","Lithuania (C)","Finland (P)","0.126630729036225"
"320","Lithuania (C)","Belgium (P)","0.221077938103051"
"321","Netherlands (C)","Austria (C)","0.137459068980605"
"322","Netherlands (C)","Croatia (C)","0.141524794489776"
"323","Netherlands (C)","Denmark (C)","0.119760624151903"
"324","Netherlands (C)","Estonia (C)","0.151324555210357"
"325","Netherlands (C)","Finland (C)","0.152332685793991"
"326","Netherlands (C)","France (C)","0.17150847090976"
"327","Netherlands (C)","Greece (C)","0.134603921668625"
"328","Netherlands (C)","Hungary (C)","0.183560295902798"
"329","Netherlands (C)","Italy (C)","0.188605014846598"
"330","Netherlands (C)","Lithuania (C)","0.164513957955779"
"331","Netherlands (C)","Netherlands (C)","0"
"332","Netherlands (C)","Portugal (C)","0.144215904163275"
"333","Netherlands (C)","Slovakia (C)","0.166223254693335"
"334","Netherlands (C)","Slovenia (C)","0.162166694550645"
"335","Netherlands (C)","Spain (C)","0.159375241036515"
"336","Netherlands (C)","Switzerland (C)","0.0939327610233946"
"337","Netherlands (C)","United Kingdom (C)","0.0931658607474126"
"338","Netherlands (C)","Belgium, 2006","0.245489211661918"
"339","Netherlands (C)","Belgium, 2010","0.174553759281371"
"340","Netherlands (C)","China (Shanghai), 2018","0.555137211508884"
"341","Netherlands (C)","France, 2012","0.137838394954684"
"342","Netherlands (C)","Hong Kong, 2016","0.19766229425778"
"343","Netherlands (C)","Peru, 2011","0.652871704946746"
"344","Netherlands (C)","Zimbabwe, 2013","0.586915600231203"
"345","Netherlands (C)","Italy (P)","0.191530364390202"
"346","Netherlands (C)","Germany (P)","0.190072769168949"
"347","Netherlands (C)","Luxembourg (P)","0.145077829817989"
"348","Netherlands (C)","Netherlands (P)","0.578699985105833"
"349","Netherlands (C)","Poland (P)","0.320628427343402"
"350","Netherlands (C)","United Kingdom (P)","0.220290016399005"
"351","Netherlands (C)","Finland (P)","0.190078271363473"
"352","Netherlands (C)","Belgium (P)","0.308577142281637"
"353","Portugal (C)","Austria (C)","0.0914271207558154"
"354","Portugal (C)","Croatia (C)","0.0493503854165317"
"355","Portugal (C)","Denmark (C)","0.102770350525715"
"356","Portugal (C)","Estonia (C)","0.0956115817171933"
"357","Portugal (C)","Finland (C)","0.187274363007763"
"358","Portugal (C)","France (C)","0.090891391448084"
"359","Portugal (C)","Greece (C)","0.0574738398717576"
"360","Portugal (C)","Hungary (C)","0.0609621993145529"
"361","Portugal (C)","Italy (C)","0.0572114053888646"
"362","Portugal (C)","Lithuania (C)","0.119233532587329"
"363","Portugal (C)","Netherlands (C)","0.144215904163275"
"364","Portugal (C)","Portugal (C)","0"
"365","Portugal (C)","Slovakia (C)","0.0678717356337554"
"366","Portugal (C)","Slovenia (C)","0.0485828972354777"
"367","Portugal (C)","Spain (C)","0.0379459228792676"
"368","Portugal (C)","Switzerland (C)","0.0909314354746106"
"369","Portugal (C)","United Kingdom (C)","0.0581613106800745"
"370","Portugal (C)","Belgium, 2006","0.176510398454555"
"371","Portugal (C)","Belgium, 2010","0.149351111583188"
"372","Portugal (C)","China (Shanghai), 2018","0.423543355016239"
"373","Portugal (C)","France, 2012","0.110544523043981"
"374","Portugal (C)","Hong Kong, 2016","0.12809680294105"
"375","Portugal (C)","Peru, 2011","0.460172550313932"
"376","Portugal (C)","Zimbabwe, 2013","0.341989186084435"
"377","Portugal (C)","Italy (P)","0.125906119368181"
"378","Portugal (C)","Germany (P)","0.135458780232844"
"379","Portugal (C)","Luxembourg (P)","0.0912982259774116"
"380","Portugal (C)","Netherlands (P)","0.85615568495257"
"381","Portugal (C)","Poland (P)","0.181665693547436"
"382","Portugal (C)","United Kingdom (P)","0.157756135152994"
"383","Portugal (C)","Finland (P)","0.232285105392614"
"384","Portugal (C)","Belgium (P)","0.22688793167335"
"385","Slovakia (C)","Austria (C)","0.0614850559099126"
"386","Slovakia (C)","Croatia (C)","0.0349845684486256"
"387","Slovakia (C)","Denmark (C)","0.0844554253080757"
"388","Slovakia (C)","Estonia (C)","0.0498070321496374"
"389","Slovakia (C)","Finland (C)","0.109840436481206"
"390","Slovakia (C)","France (C)","0.0727230898045066"
"391","Slovakia (C)","Greece (C)","0.0746134909214844"
"392","Slovakia (C)","Hungary (C)","0.0391032564737964"
"393","Slovakia (C)","Italy (C)","0.112475547448755"
"394","Slovakia (C)","Lithuania (C)","0.0668513444653232"
"395","Slovakia (C)","Netherlands (C)","0.166223254693335"
"396","Slovakia (C)","Portugal (C)","0.0678717356337554"
"397","Slovakia (C)","Slovakia (C)","0"
"398","Slovakia (C)","Slovenia (C)","0.0272579875607548"
"399","Slovakia (C)","Spain (C)","0.0861888375397665"
"400","Slovakia (C)","Switzerland (C)","0.063917158392846"
"401","Slovakia (C)","United Kingdom (C)","0.0528964266033928"
"402","Slovakia (C)","Belgium, 2006","0.126590970491307"
