"part_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi","cont_id"
2055,36,36,36,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2055_outbreak_2"
2055,65,65,65,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2055_outbreak_3"
2055,62,62,62,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2055_outbreak_4"
2056,44,35,50,NA,"False","True","False","False","False","False",NA,2,4,"2056_outbreak_1"
2056,38,35,50,NA,"False","True","False","False","False","False",NA,2,4,"2056_outbreak_2"
2056,48,35,50,NA,"False","True","False","False","False","False",NA,2,4,"2056_outbreak_3"
2056,42,35,50,NA,"False","True","False","False","False","False",NA,2,4,"2056_outbreak_4"
2056,45,35,50,NA,"False","True","False","False","False","False",NA,2,4,"2056_outbreak_5"
2056,39,39,39,NA,"True","False","False","False","False","False",NA,1,5,"2056_outbreak_6"
2056,18,18,18,NA,"True","False","False","False","False","False",NA,1,3,"2056_outbreak_7"
2056,18,18,18,NA,"True","False","False","False","False","False",NA,1,3,"2056_outbreak_8"
2057,60,60,60,NA,"True","False","False","False","False","False",NA,2,2,"2057_outbreak_1"
2057,36,36,36,NA,"True","False","False","False","False","False",NA,1,3,"2057_outbreak_2"
2057,10,10,10,NA,"True","False","False","False","False","False",NA,1,3,"2057_outbreak_3"
2059,69,69,69,NA,"True","False","False","False","False","False",NA,1,4,"2059_outbreak_1"
2060,64,64,64,NA,"True","False","False","False","False","False",NA,1,5,"2060_outbreak_1"
2061,50,45,50,NA,"True","False","False","False","False","False",NA,1,4,"2061_outbreak_1"
2061,20,15,20,NA,"True","False","False","False","False","False",NA,1,4,"2061_outbreak_2"
2063,40,40,40,NA,"True","False","False","False","False","False",NA,1,5,"2063_outbreak_1"
2063,36,35,40,NA,"True","False","False","False","False","False",NA,1,4,"2063_outbreak_2"
2063,10,10,10,NA,"True","False","False","False","False","False",NA,1,5,"2063_outbreak_3"
2063,62,62,62,NA,"True","False","False","False","False","False",NA,1,5,"2063_outbreak_4"
2064,40,40,50,NA,"True","False","False","False","False","False",NA,1,5,"2064_outbreak_1"
2064,21,20,30,NA,"False","False","False","False","False","True",NA,2,1,"2064_outbreak_2"
2064,40,40,50,NA,"False","False","False","False","False","True",NA,2,1,"2064_outbreak_3"
2064,52,50,60,NA,"False","False","False","False","False","True",NA,2,1,"2064_outbreak_4"
2065,70,70,70,NA,"True","False","False","False","False","False",NA,2,3,"2065_outbreak_1"
2066,69,69,69,NA,"True","False","False","False","False","False",NA,1,4,"2066_outbreak_1"
2067,41,41,41,NA,"True","False","False","False","False","False",NA,2,3,"2067_outbreak_1"
2067,11,11,11,NA,"True","False","False","False","False","False",NA,1,4,"2067_outbreak_2"
2068,7,7,7,NA,"True","False","False","False","False","False",NA,1,5,"2068_outbreak_1"
