part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,frequency_multi,phys_contact,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,duration_multi
11077008,110770018,NA,70,74,M,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
11077008,110770019,NA,45,54,F,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
11077008,110770020,NA,45,54,M,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
11077508,110775007,NA,55,64,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11078008,110780007,NA,12,15,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11078008,110780008,NA,5,11,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11078108,110781010,NA,35,44,M,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11078108,110781011,NA,35,44,M,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
11078108,110781012,NA,65,69,F,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
11078508,110785010,NA,75,79,M,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
11078508,110785011,NA,65,69,M,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
11078608,110786006,NA,65,69,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11078708,110787008,NA,55,64,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
11078908,110789005,NA,65,69,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11079808,110798026,NA,45,54,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11079808,110798027,NA,5,11,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11080108,110801006,NA,45,54,F,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11080108,110801007,NA,70,74,F,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11080308,110803008,NA,16,17,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11080308,110803009,NA,45,54,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11080308,110803010,NA,75,79,F,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
11080408,110804016,NA,55,64,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4
11080408,110804017,NA,70,74,M,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
11080408,110804018,NA,70,74,M,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
11080408,110804019,NA,70,74,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
11080408,110804020,NA,70,74,M,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
11080708,110807011,NA,45,54,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11080708,110807012,NA,25,34,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
11080708,110807013,NA,20,24,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
