part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cont_id
2047,21.0,21.0,21.0,NA,True,False,False,False,False,False,NA,2.0,5.0,2047_outbreak_3
2048,NA,50.0,55.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2048_outbreak_1
2048,NA,25.0,30.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2048_outbreak_2
2048,NA,25.0,30.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2048_outbreak_3
2048,NA,1.0,10.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2048_outbreak_4
2049,50.0,50.0,50.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2049_outbreak_1
2049,49.0,49.0,49.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2049_outbreak_2
2050,NA,40.0,50.0,NA,False,False,False,False,False,True,NA,2.0,1.0,2050_outbreak_1
2050,NA,40.0,50.0,NA,False,False,False,False,False,True,NA,2.0,1.0,2050_outbreak_2
2050,NA,40.0,50.0,NA,False,False,False,False,False,True,NA,2.0,1.0,2050_outbreak_3
2050,NA,40.0,50.0,NA,False,False,False,False,False,True,NA,2.0,1.0,2050_outbreak_4
2050,NA,60.0,70.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2050_outbreak_5
2050,NA,60.0,70.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2050_outbreak_6
2051,31.0,31.0,31.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2051_outbreak_1
2051,3.0,3.0,3.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2051_outbreak_2
2052,30.0,30.0,30.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2052_outbreak_1
2052,NA,60.0,70.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2052_outbreak_2
2052,NA,60.0,70.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2052_outbreak_3
2052,NA,60.0,70.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2052_outbreak_4
2052,NA,60.0,70.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2052_outbreak_5
2054,34.0,34.0,34.0,NA,True,False,False,False,False,False,NA,2.0,NA,2054_outbreak_1
2054,10.0,10.0,10.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2054_outbreak_2
2055,36.0,36.0,36.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2055_outbreak_1
2055,36.0,36.0,36.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2055_outbreak_2
2055,65.0,65.0,65.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2055_outbreak_3
2055,62.0,62.0,62.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2055_outbreak_4
2056,NA,35.0,50.0,NA,False,True,False,False,False,False,NA,2.0,4.0,2056_outbreak_1
2056,NA,35.0,50.0,NA,False,True,False,False,False,False,NA,2.0,4.0,2056_outbreak_2
2056,NA,35.0,50.0,NA,False,True,False,False,False,False,NA,2.0,4.0,2056_outbreak_3
2056,NA,35.0,50.0,NA,False,True,False,False,False,False,NA,2.0,4.0,2056_outbreak_4
2056,NA,35.0,50.0,NA,False,True,False,False,False,False,NA,2.0,4.0,2056_outbreak_5
2056,39.0,39.0,39.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2056_outbreak_6
2056,18.0,18.0,18.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2056_outbreak_7
2056,18.0,18.0,18.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2056_outbreak_8
2057,60.0,60.0,60.0,NA,True,False,False,False,False,False,NA,2.0,2.0,2057_outbreak_1
2057,36.0,36.0,36.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2057_outbreak_2
2057,10.0,10.0,10.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2057_outbreak_3
2059,69.0,69.0,69.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2059_outbreak_1
2060,64.0,64.0,64.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2060_outbreak_1
2061,NA,45.0,50.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2061_outbreak_1
2061,NA,15.0,20.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2061_outbreak_2
2063,40.0,40.0,40.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2063_outbreak_1
2063,NA,35.0,40.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2063_outbreak_2
2063,10.0,10.0,10.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2063_outbreak_3
2063,62.0,62.0,62.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2063_outbreak_4
2064,NA,40.0,50.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2064_outbreak_1
2064,NA,20.0,30.0,NA,False,False,False,False,False,True,NA,2.0,1.0,2064_outbreak_2
2064,NA,40.0,50.0,NA,False,False,False,False,False,True,NA,2.0,1.0,2064_outbreak_3
2064,NA,50.0,60.0,NA,False,False,False,False,False,True,NA,2.0,1.0,2064_outbreak_4
2065,70.0,70.0,70.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2065_outbreak_1
2066,69.0,69.0,69.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2066_outbreak_1
2067,41.0,41.0,41.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2067_outbreak_1
2067,11.0,11.0,11.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2067_outbreak_2
2068,7.0,7.0,7.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2068_outbreak_1
2068,46.0,46.0,46.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2068_outbreak_2
2068,72.0,72.0,72.0,NA,True,False,False,False,False,False,NA,2.0,4.0,2068_outbreak_3
2069,46.0,46.0,46.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2069_outbreak_1
2069,44.0,44.0,44.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2069_outbreak_2
2070,33.0,33.0,33.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2070_outbreak_1
2070,7.0,7.0,7.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2070_outbreak_2
2071,73.0,73.0,73.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2071_outbreak_1
2072,NA,60.0,70.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2072_outbreak_1
2072,NA,60.0,70.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2072_outbreak_2
2073,NA,60.0,70.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2073_outbreak_1
2073,NA,30.0,40.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2073_outbreak_2
2073,NA,30.0,40.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2073_outbreak_3
2073,NA,5.0,10.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2073_outbreak_4
2075,49.0,49.0,49.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2075_outbreak_1
2076,NA,35.0,40.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2076_outbreak_1
2076,12.0,12.0,12.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2076_outbreak_2
2076,NA,5.0,10.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2076_outbreak_3
2077,NA,30.0,40.0,NA,True,False,False,False,False,False,NA,2.0,1.0,2077_outbreak_1
2077,NA,30.0,40.0,NA,True,False,False,False,False,False,NA,2.0,1.0,2077_outbreak_2
2078,44.0,44.0,44.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2078_outbreak_1
2078,20.0,20.0,20.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2078_outbreak_2
2079,22.0,22.0,22.0,NA,True,False,False,False,False,False,NA,2.0,2.0,2079_outbreak_1
2080,92.0,92.0,92.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2080_outbreak_1
2081,46.0,46.0,46.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2081_outbreak_1
