"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","frequency_multi","phys_contact","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","duration_multi","cnt_small","cnt_large_inc","cnt_ind"
10940001,109400006,6,5,9,"F",3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940001,109400007,42,35,44,"F",3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10940101,109401001,45,45,54,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940101,109401002,71,70,74,"F",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10940201,109402001,45,45,54,"M",1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940201,109402002,32,25,34,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940201,109402003,39,35,44,"M",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE
10940201,109402004,31,25,34,"F",5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10940201,109402005,35,35,44,"F",5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE
10940201,109402006,27,25,34,"F",5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10940201,109402007,21,20,24,"F",3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE
10940301,109403001,88,85,120,"M",NA,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10940301,109403002,56,55,64,"M",NA,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10940301,109403003,52,45,54,"F",NA,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10940401,109404001,49,45,54,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10940401,109404002,45,45,54,"M",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10940401,109404003,73,0,120,"F",5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10940501,109405001,4,4,7,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940501,109405002,52,45,54,"M",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940501,109405003,45,45,54,"F",2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE
10940601,109406001,51,45,54,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940701,109407001,45,45,54,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940701,109407002,23,20,24,"M",1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940701,109407003,96,85,120,"M",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10940701,109407004,89,85,120,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10940701,109407005,37,35,44,"M",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10940701,109407006,36,35,44,"M",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10940701,109407007,25,25,34,"M",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940701,109407008,57,55,64,"M",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10940701,109407009,34,25,34,"M",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10940701,109407010,41,35,44,"M",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10940701,109407011,45,45,54,"M",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10940701,109407012,54,45,54,"F",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10940801,109408001,71,70,74,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940801,109408002,72,70,74,"M",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940801,109408003,10,0,17,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10940801,109408004,5,0,17,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10940801,109408005,13,0,17,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10940801,109408006,37,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10940801,109408007,51,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10940801,109408008,34,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10940801,109408009,49,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10940801,109408010,59,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10940801,109408011,83,65,120,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10940801,109408012,67,65,120,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10940901,109409001,50,45,54,"M",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10940901,109409002,15,11,15,"M",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940901,109409003,4,4,7,"M",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10940901,109409004,14,11,15,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941001,109410001,23,20,24,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941001,109410002,18,18,19,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941001,109410003,11,11,15,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941001,109410004,77,75,79,"F",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10941001,109410005,48,45,54,"M",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941001,109410006,44,35,44,"F",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10941001,109410007,63,55,64,"F",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10941001,109410008,59,55,64,"F",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10941001,109410009,56,55,64,"F",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10941001,109410010,20,20,24,"F",1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10941001,109410011,51,45,54,"F",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10941101,109411001,41,35,44,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941101,109411002,42,35,44,"F",3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10941101,109411003,32,25,34,"F",4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10941101,109411004,37,35,44,"M",4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10941201,109412001,68,65,69,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941201,109412002,39,35,44,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941201,109412003,6,4,7,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941201,109412004,77,65,120,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,FALSE
10941301,109413001,45,45,54,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941301,109413002,50,45,54,"M",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941301,109413003,24,20,24,"M",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10941301,109413004,42,35,44,"F",5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10941301,109413005,24,20,24,"F",5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10941301,109413006,22,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10941301,109413007,63,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10941301,109413008,54,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10941301,109413009,26,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10941301,109413010,20,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10941301,109413011,26,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10941301,109413012,54,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,TRUE,TRUE,FALSE
10941301,109413013,58,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,FALSE
10941301,109413014,50,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,FALSE
10941301,109413015,63,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,FALSE
10941301,109413016,32,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,FALSE
10941301,109413017,61,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,FALSE
10941301,109413018,57,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,FALSE
10941401,109414001,50,45,54,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
